コード,銘柄名,01/21,01/20,01/17,01/16,01/15
2139,中広,0.00,0.00,0.00,0.00,0.00
2146,ＵＴグループ,0.10,0.05,0.10,0.10,0.15
2168,パソナグループ,0.05,0.00,0.00,0.05,0.00
2170,リンクアンドモチベーション,0.05,0.05,0.05,0.05,0.15
2201,森永製菓,0.05,0.10,0.05,0.10,0.30
2204,中村屋,0.10,0.10,0.10,0.10,0.30
2206,江崎グリコ,0.00,0.00,0.00,0.00,0.00
2211,不二家,0.05,-,0.05,-,0.15
2212,山崎製パン,0.05,0.05,0.05,0.05,0.15
2215,第一屋製パン,0.05,0.05,0.05,0.05,0.15
2217,モロゾフ,0.10,0.10,0.10,0.10,0.30
2222,寿スピリッツ,0.15,0.15,0.15,0.15,0.45
2229,カルビー,0.10,0.10,0.10,0.10,0.30
2266,六甲バター,0.05,0.05,0.05,0.05,0.15
2281,プリマハム,0.05,0.05,0.05,0.05,0.15
2282,日本ハム,0.10,0.10,0.10,0.10,0.00
2288,丸大食品,0.00,0.00,-,0.05,-
2294,柿安本店,0.10,0.10,0.10,0.10,0.30
2301,学情,0.05,0.10,0.15,0.05,0.30
2305,スタジオアリス,0.05,0.05,0.05,0.05,0.15
2327,日鉄ソリューションズ,0.00,-,0.00,-,0.00
2337,いちご,0.00,0.05,0.05,0.00,0.15
2371,カカクコム,0.05,0.05,0.05,0.05,0.15
2372,アイロムグループ,0.00,0.00,0.00,0.00,0.00
2379,ディップ,0.10,0.10,0.10,0.10,0.30
2384,ＳＢＳホールディングス,0.00,0.00,0.00,0.00,0.00
2389,オプトホールディング,0.00,0.00,0.00,0.00,0.00
2398,ツクイ,0.00,0.00,0.00,0.00,0.00
2410,キャリアデザインセンター,0.00,-,0.00,-,-
2413,エムスリー,0.00,-,0.00,-,0.00
2418,ツカダ・グローバルホールディング,0.00,0.00,0.00,0.00,0.00
2428,ウェルネット,0.00,0.00,0.00,0.00,0.00
2433,博報堂ＤＹホールディングス,0.05,0.05,0.05,0.05,0.15
2440,ぐるなび,0.05,0.05,0.05,0.05,0.15
2462,ライク,0.00,0.00,0.00,0.00,0.00
2475,ＷＤＢホールディングス,0.00,0.00,0.00,0.00,0.00
2487,ＣＤＧ,0.05,0.05,0.05,0.05,0.15
2492,インフォマート,0.05,0.05,0.05,0.05,0.15
2501,サッポロホールディングス,0.05,0.05,0.05,0.05,0.15
2533,オエノンホールディングス,0.00,0.00,-,-,-
2590,ダイドーグループホールディングス,0.10,0.10,0.10,2.35,0.30
2593,伊藤園,0.10,0.10,0.10,0.10,0.30
2594,キーコーヒー,0.05,0.05,0.05,0.05,0.15
2599,ジャパンフーズ,0.00,0.00,0.00,0.00,0.00
2602,日清オイリオグループ,0.10,0.10,0.10,0.10,0.30
2613,Ｊ－オイルミルズ,0.00,0.00,0.00,0.00,0.00
2651,ローソン,0.15,0.15,0.15,0.15,0.45
2659,サンエー,0.10,0.10,0.10,0.10,0.30
2664,カワチ薬品,0.05,0.00,0.05,0.00,0.15
2670,エービーシー・マート,0.00,0.00,0.00,-,0.00
2678,アスクル,0.05,0.05,0.05,0.05,0.15
2692,伊藤忠食品,0.10,0.10,0.10,0.10,0.30
2698,キャンドゥ,0.05,0.05,0.05,0.05,0.15
2715,エレマテック,0.00,0.00,0.00,0.00,0.00
2730,エディオン,0.05,0.05,0.05,0.05,0.15
2749,ＪＰホールディングス,0.00,0.00,-,-,0.00
2784,アルフレッサ　ホールディングス,0.00,0.00,0.00,0.00,0.00
2791,大黒天物産,0.00,0.00,0.00,0.00,0.00
2796,ファーマライズホールディングス,0.05,0.05,0.05,0.05,0.15
2801,キッコーマン,0.00,0.00,0.00,0.00,0.00
2811,カゴメ,0.00,0.00,-,-,0.00
2815,アリアケジャパン,0.00,0.15,0.00,0.15,0.45
2819,エバラ食品工業,0.00,0.00,0.00,0.00,0.00
2874,横浜冷凍,0.00,0.00,0.00,0.00,0.00
2875,東洋水産,0.10,0.10,0.10,0.10,0.30
2882,イートアンド,0.05,0.05,0.05,0.05,0.15
2884,ヨシムラ・フード・ホールディングス,0.00,0.00,0.00,0.00,0.00
2897,日清食品ホールディングス,0.15,0.15,0.15,0.15,0.45
2904,一正蒲鉾,0.00,-,-,0.00,0.00
2908,フジッコ,0.00,0.00,0.00,0.00,0.00
2910,ロック・フィールド,0.05,0.05,0.05,0.05,0.15
2915,ケンコーマヨネーズ,0.00,0.05,0.00,0.00,0.00
2922,なとり,0.05,0.05,0.05,0.05,0.15
2924,イフジ産業,0.00,0.00,0.00,0.00,0.00
2930,北の達人コーポレーション,0.00,0.00,0.00,0.00,0.00
2931,ユーグレナ,0.05,0.05,0.05,0.05,0.15
2975,スター・マイカ・ホールディングス,0.05,0.05,0.05,0.05,0.15
3001,片倉工業,0.00,0.00,0.00,0.00,-
3003,ヒューリック,0.05,0.05,0.05,0.05,0.15
3004,神栄,0.00,0.00,0.00,0.00,0.00
3028,アルペン,0.05,0.05,0.05,0.05,0.15
3046,ジンズホールディングス,0.15,0.15,0.15,0.15,0.45
3050,ＤＣＭホールディングス,0.00,-,0.00,0.00,0.00
3067,東京一番フーズ,0.05,0.05,0.05,0.05,0.15
3079,ディーブイエックス,0.00,0.00,0.00,0.00,0.00
3082,きちりホールディングス,0.05,0.05,0.05,0.05,0.15
3086,Ｊ．フロント　リテイリング,0.05,0.05,0.05,0.05,0.15
3088,マツモトキヨシホールディングス,0.10,0.10,0.10,0.10,0.30
3099,三越伊勢丹ホールディングス,0.00,0.00,0.05,0.00,0.15
3101,東洋紡,0.00,0.00,0.00,0.05,0.15
3104,富士紡ホールディングス,0.00,0.10,0.10,0.10,0.30
3106,倉敷紡績,0.05,0.05,0.05,0.05,0.15
3109,シキボウ,0.05,0.00,-,-,-
3110,日東紡績,0.10,0.10,0.10,0.10,0.30
3116,トヨタ紡織,0.00,0.00,0.00,0.05,0.00
3132,マクニカ・富士エレホールディングス,0.05,-,0.05,0.00,0.15
3134,Ｈａｍｅｅ,0.00,0.00,0.00,0.00,0.00
3139,ラクト・ジャパン,0.05,0.00,0.00,0.00,0.00
3141,ウエルシアホールディングス,0.00,0.00,0.00,0.10,0.00
3148,クリエイトＳＤホールディングス,0.05,0.05,0.05,0.05,0.15
3151,バイタルケーエスケー・ホールディングス,0.05,0.05,0.05,0.05,0.15
3154,メディアスホールディングス,0.00,0.00,0.00,0.00,0.00
3159,丸善ＣＨＩホールディングス,0.05,0.05,0.05,0.05,0.15
3160,大光,0.00,-,0.00,0.00,0.00
3166,ＯＣＨＩホールディングス,0.05,0.05,0.05,0.05,0.15
3167,ＴＯＫＡＩホールディングス,0.00,0.00,0.00,0.00,0.00
3168,黒谷,0.05,-,0.05,0.05,0.15
3176,三洋貿易,0.05,0.00,0.05,0.00,0.00
3178,チムニー,0.00,0.00,0.00,0.00,0.00
3180,ビューティガレージ,0.05,0.05,0.05,0.05,0.15
3183,ウイン・パートナーズ,0.05,0.05,0.05,0.05,0.15
3186,ネクステージ,0.00,0.00,0.00,0.00,0.00
3193,鳥貴族,0.05,0.05,0.05,0.05,0.15
3197,すかいらーくホールディングス,0.05,0.05,0.05,0.05,0.15
3201,日本毛織,0.05,0.05,0.05,0.00,0.00
3204,トーア紡コーポレーション,0.00,0.00,0.00,0.00,0.00
3205,ダイドーリミテッド,0.05,0.05,0.05,0.05,0.15
3222,ユナイテッド・スーパーマーケット・ホールディングス,0.00,0.00,0.00,0.00,0.00
3231,野村不動産ホールディングス,0.05,0.05,0.05,0.05,0.15
3232,三重交通グループホールディングス,0.05,0.00,0.05,0.00,0.15
3271,ＴＨＥグローバル社,0.00,0.00,0.00,0.00,0.00
3276,日本管理センター,0.05,0.00,0.00,0.00,0.00
3280,エストラスト,0.00,0.00,0.00,0.00,0.00
3284,フージャースホールディングス,0.00,0.00,0.00,0.00,0.00
3288,オープンハウス,0.00,-,0.05,-,0.15
3289,東急不動産ホールディングス,0.00,0.00,0.00,0.00,0.00
3291,飯田グループホールディングス,0.05,0.05,0.05,0.05,0.15
3299,ムゲンエステート,0.05,0.05,0.05,0.05,0.15
3349,コスモス薬品,0.45,0.45,0.50,0.45,1.35
3360,シップヘルスケアホールディングス,0.10,0.10,0.10,0.10,0.30
3382,セブン＆アイ・ホールディングス,0.10,0.10,0.10,0.10,0.30
3387,クリエイト・レストランツ・ホールディングス,0.05,0.05,0.05,0.05,0.15
3391,ツルハホールディングス,0.25,0.25,0.25,0.25,0.75
3393,スターティアホールディングス,0.00,0.00,0.05,0.00,0.15
3397,トリドールホールディングス,0.00,0.00,0.00,0.00,0.00
3401,帝人,0.05,0.05,0.05,0.05,0.00
3433,トーカロ,0.00,0.00,-,-,0.00
3436,ＳＵＭＣＯ,0.00,0.00,0.00,0.00,0.15
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,0.00,0.00,-,-,-
3454,ファーストブラザーズ,0.00,0.00,0.00,0.00,0.00
3457,ハウスドゥ,0.00,0.00,0.00,0.00,0.00
3475,グッドコムアセット,0.00,0.00,0.00,0.00,-
3480,ジェイ・エス・ビー,0.00,0.00,0.00,0.00,0.30
3484,テンポイノベーション,0.00,0.00,0.00,0.00,0.00
3501,住江織物,0.00,-,-,-,-
3529,アツギ,0.00,0.00,0.00,0.00,0.00
3539,ジャパンミート,0.05,0.05,0.05,0.05,0.15
3544,サツドラホールディングス,0.00,0.00,0.00,0.00,0.00
3546,アレンザホールディングス,0.00,0.00,0.00,-,-
3547,串カツ田中ホールディングス,0.10,0.05,0.05,0.05,0.15
3561,力の源ホールディングス,0.00,0.00,0.00,0.00,0.00
3563,スシローグローバルホールディングス,0.00,0.20,0.20,0.20,0.60
3571,ソトー,0.05,0.05,0.05,0.05,0.15
3580,小松マテーレ,0.05,0.05,0.05,0.05,0.15
3591,ワコールホールディングス,0.05,0.05,0.05,0.05,0.15
3593,ホギメディカル,0.00,0.00,0.00,0.00,0.00
3606,レナウン,0.00,0.00,0.00,0.00,0.00
3612,ワールド,0.00,0.00,0.00,0.00,0.00
3627,ネオス,0.00,0.00,0.00,0.00,0.00
3635,コーエーテクモホールディングス,0.05,0.05,0.00,0.00,0.15
3636,三菱総合研究所,0.00,0.00,0.00,-,-
3640,電算,0.05,0.05,0.05,0.05,0.15
3648,ＡＧＳ,0.00,0.00,0.00,0.00,0.15
3655,ブレインパッド,0.15,0.15,0.15,0.15,0.30
3656,ＫＬａｂ,0.00,0.00,0.00,0.00,0.00
3659,ネクソン,0.00,0.00,0.00,0.00,0.00
3660,アイスタイル,0.00,0.00,0.00,0.00,0.00
3661,エムアップ,0.10,0.05,0.55,0.10,0.60
3662,エイチーム,0.00,0.00,0.00,0.00,0.00
3667,ｅｎｉｓｈ,0.00,0.00,-,0.00,0.00
3668,コロプラ,0.05,0.05,0.05,0.05,0.15
3681,ブイキューブ,0.00,0.00,-,0.00,-
3694,オプティム,0.10,0.10,0.10,0.10,0.30
3697,ＳＨＩＦＴ,0.00,0.15,0.15,0.15,0.45
3708,特種東海製紙,0.10,0.10,0.10,0.10,0.30
3738,ティーガイア,0.00,0.00,0.00,0.00,0.00
3774,インターネットイニシアティブ,0.00,0.05,0.00,0.05,0.00
3826,システムインテグレータ,0.05,0.00,0.05,0.00,-
3843,フリービット,0.00,0.00,0.00,0.00,0.00
3865,北越コーポレーション,0.05,0.00,0.05,-,0.15
3878,巴川製紙所,0.05,0.00,0.00,0.00,0.15
3880,大王製紙,0.05,0.05,0.05,0.00,-
3916,デジタル・インフォメーション・テクノロジー,0.00,0.00,0.00,0.00,0.00
3921,ネオジャパン,0.05,0.05,0.05,0.05,0.15
3928,マイネット,0.00,0.00,0.00,0.00,0.00
3946,トーモク,0.00,-,0.00,0.00,0.00
3950,ザ・パック,0.00,0.00,0.00,0.00,0.00
3964,オークネット,0.05,0.05,0.05,0.05,0.15
3968,セグエグループ,0.00,0.00,0.00,0.00,0.00
3983,オロ,0.00,0.00,0.00,0.00,0.00
3996,サインポスト,0.05,0.05,0.05,0.05,0.15
4004,昭和電工,0.00,0.00,0.00,0.00,0.00
4022,ラサ工業,0.00,-,-,-,-
4025,多木化学,0.10,0.10,0.10,0.10,0.30
4031,片倉コープアグリ,0.00,0.00,0.00,0.00,0.00
4041,日本曹達,0.10,0.05,0.05,0.05,0.15
4042,東ソー,0.05,0.05,0.05,0.05,0.15
4062,イビデン,0.05,0.00,0.05,0.05,0.15
4064,日本カーバイド工業,0.00,0.00,0.00,0.00,0.00
4091,大陽日酸,0.00,0.00,0.00,0.00,0.00
4092,日本化学工業,0.10,0.10,0.00,0.05,0.00
4100,戸田工業,0.00,0.00,0.00,0.00,0.00
4112,保土谷化学工業,0.10,0.10,0.10,0.10,0.30
4114,日本触媒,0.00,0.00,0.00,0.00,0.00
4116,大日精化工業,0.00,-,-,0.00,0.00
4151,協和キリン,0.05,0.05,0.05,0.05,0.15
4182,三菱瓦斯化学,0.05,0.05,0.00,0.00,0.00
4186,東京応化工業,0.10,0.10,0.10,0.10,0.30
4187,大阪有機化学工業,0.00,0.00,0.00,0.00,0.15
4202,ダイセル,0.00,0.00,0.00,0.00,0.00
4203,住友ベークライト,0.00,0.00,0.00,0.00,0.00
4204,積水化学工業,0.05,0.05,0.05,0.05,0.15
4205,日本ゼオン,0.00,0.00,0.00,0.00,0.00
4208,宇部興産,0.00,0.05,0.00,0.05,0.00
4212,積水樹脂,0.00,0.00,0.00,0.00,0.00
4216,旭有機材,0.00,0.05,0.00,-,0.15
4217,日立化成,0.00,0.00,0.00,0.00,-
4272,日本化薬,0.00,-,0.00,0.00,0.00
4286,レッグス,0.00,0.00,0.00,0.05,0.15
4298,プロトコーポレーション,0.05,-,-,-,-
4299,ハイマックス,0.05,0.05,0.05,0.05,0.15
4307,野村総合研究所,0.00,0.00,0.00,0.00,0.00
4310,ドリームインキュベータ,0.00,0.00,0.00,0.00,0.00
4337,ぴあ,0.10,0.10,0.10,0.10,0.30
4344,ソースネクスト,0.05,0.05,0.05,0.05,1.65
4368,扶桑化学工業,0.00,0.00,0.00,0.00,0.00
4401,ＡＤＥＫＡ,0.05,0.00,0.00,0.05,0.00
4403,日油,0.10,0.10,0.10,0.10,0.00
4410,ハリマ化成グループ,0.00,0.00,0.00,0.00,0.15
4461,第一工業製薬,0.10,0.10,0.10,0.10,0.30
4462,石原ケミカル,0.00,0.00,0.00,0.00,0.00
4503,アステラス製薬,0.00,0.00,0.05,0.00,0.00
4507,塩野義製薬,0.00,0.00,0.00,0.00,0.00
4508,田辺三菱製薬,0.00,0.00,-,0.00,-
4512,わかもと製薬,0.05,0.05,0.05,0.05,0.15
4519,中外製薬,0.20,0.20,0.20,0.20,0.60
4521,科研製薬,0.15,0.10,0.10,0.10,0.30
4528,小野薬品工業,0.00,0.00,0.00,0.00,-
4530,久光製薬,0.10,0.10,0.10,0.10,0.30
4534,持田製薬,0.05,0.10,0.10,0.10,0.30
4536,参天製薬,0.05,0.05,0.05,0.05,0.15
4538,扶桑薬品工業,0.00,0.00,0.00,0.00,0.00
4540,ツムラ,0.00,0.00,0.00,0.00,0.15
4543,テルモ,0.00,0.10,0.10,0.10,0.30
4547,キッセイ薬品工業,0.05,0.05,0.05,0.05,0.15
4553,東和薬品,0.00,0.00,0.00,-,-
4554,富士製薬工業,0.00,0.05,0.05,0.05,0.15
4555,沢井製薬,0.15,0.15,0.15,0.15,0.45
4574,大幸薬品,0.10,0.10,0.10,0.10,0.30
4587,ペプチドリーム,0.00,0.00,0.00,0.00,0.00
4612,日本ペイントホールディングス,0.10,0.10,0.10,0.10,0.30
4613,関西ペイント,0.05,0.05,0.05,0.05,0.15
4617,中国塗料,0.00,0.00,0.00,0.00,0.00
4633,サカタインクス,0.00,0.00,0.05,0.05,0.15
4634,東洋インキＳＣホールディングス,0.05,0.05,0.05,0.05,0.15
4665,ダスキン,0.05,0.05,0.05,0.05,0.15
4666,パーク２４,0.05,0.05,-,0.00,0.00
4668,明光ネットワークジャパン,0.05,0.05,0.05,0.05,0.00
4671,ファルコホールディングス,0.00,0.00,0.00,0.00,0.00
4674,クレスコ,0.00,0.00,0.00,0.00,0.00
4676,フジ・メディア・ホールディングス,0.00,0.00,0.00,0.00,0.00
4678,秀英予備校,0.00,0.00,0.00,0.00,0.00
4681,リゾートトラスト,0.05,0.05,0.05,0.00,0.15
4696,ワタベウェディング,0.00,0.00,0.00,0.00,0.00
4704,トレンドマイクロ,0.00,0.00,-,-,-
4716,日本オラクル,0.20,0.20,0.20,0.20,0.60
4718,早稲田アカデミー,0.05,0.05,-,0.00,0.15
4719,アルファシステムズ,0.00,-,0.00,-,-
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,0.05,0.05,0.05,0.05,0.15
4726,ＳＢテクノロジー,0.00,0.00,0.00,0.00,0.00
4732,ユー・エス・エス,0.05,0.05,0.05,0.05,0.00
4792,山田コンサルティンググループ,0.00,0.00,0.00,0.00,0.00
4812,電通国際情報サービス,0.00,0.00,0.00,0.00,0.30
4820,イーエムシステムズ,0.05,0.05,0.05,0.05,0.15
4825,ウェザーニューズ,0.10,0.10,0.10,0.10,0.30
4828,ビジネスエンジニアリング,0.00,0.00,0.00,0.00,0.00
4839,ＷＯＷＯＷ,0.00,0.00,0.00,0.00,0.00
4848,フルキャストホールディングス,0.05,0.05,0.05,0.05,0.15
4849,エン・ジャパン,0.10,0.10,0.10,0.10,0.30
4912,ライオン,0.05,0.05,0.05,0.00,-
4917,マンダム,0.05,0.05,0.05,0.05,0.15
4919,ミルボン,0.15,0.15,0.15,0.10,0.45
4923,コタ,0.00,0.00,0.00,0.00,0.00
4928,ノエビアホールディングス,0.00,0.00,0.00,0.00,0.00
4929,アジュバンコスメジャパン,0.05,0.05,0.05,0.05,0.15
4951,エステー,0.00,0.00,0.00,0.00,-
4955,アグロ　カネショウ,0.00,0.00,0.00,0.00,0.00
4958,長谷川香料,0.05,0.05,0.05,0.05,0.15
4967,小林製薬,0.15,0.20,0.20,0.20,0.60
4968,荒川化学工業,0.00,0.00,0.00,0.00,0.00
4971,メック,0.00,0.00,0.00,0.00,0.00
4975,ＪＣＵ,0.10,0.10,0.10,0.10,0.30
4985,アース製薬,0.10,0.10,0.10,0.10,0.30
4996,クミアイ化学工業,0.05,0.00,0.00,0.00,0.15
4997,日本農薬,0.05,0.05,0.05,0.05,0.15
5011,ニチレキ,0.00,0.00,0.00,0.00,0.00
5018,ＭＯＲＥＳＣＯ,0.00,0.00,0.00,0.00,0.00
5185,フコク,0.05,0.05,0.05,0.05,0.15
5186,ニッタ,0.05,0.05,0.10,0.10,0.15
5192,三ツ星ベルト,0.00,0.00,0.00,0.00,0.00
5201,ＡＧＣ,0.10,0.10,0.00,-,0.15
5210,日本山村硝子,0.00,0.00,0.00,0.00,0.00
5218,オハラ,0.00,0.00,0.00,0.00,0.00
5232,住友大阪セメント,0.10,0.10,0.10,0.10,0.30
5269,日本コンクリート工業,0.00,0.00,0.00,0.00,0.00
5273,三谷セキサン,0.10,0.10,0.10,0.10,0.30
5301,東海カーボン,0.00,0.00,0.05,0.05,0.15
5302,日本カーボン,0.05,0.10,0.10,0.10,0.30
5332,ＴＯＴＯ,0.10,0.10,0.10,0.10,0.30
5333,日本碍子,0.00,0.00,0.00,0.00,0.00
5344,ＭＡＲＵＷＡ,0.15,0.15,0.15,0.15,0.45
5352,黒崎播磨,0.00,0.15,0.00,0.10,0.00
5358,イソライト工業,0.00,0.00,0.00,0.00,0.00
5384,フジミインコーポレーテッド,0.00,0.00,-,0.00,0.00
5393,ニチアス,0.05,0.05,0.05,0.05,0.15
5410,合同製鐵,0.05,0.00,0.05,0.05,0.15
5440,共英製鋼,0.00,-,0.00,0.00,0.00
5451,淀川製鋼所,0.05,0.05,0.05,0.05,0.15
5463,丸一鋼管,0.05,0.05,0.05,0.05,0.15
5471,大同特殊鋼,0.10,0.10,0.10,0.10,0.30
5480,日本冶金工業,0.00,0.00,0.00,0.00,0.00
5481,山陽特殊製鋼,0.00,0.00,0.00,-,-
5482,愛知製鋼,0.00,0.00,0.00,0.00,0.00
5486,日立金属,0.00,0.00,0.00,0.00,0.00
5603,虹技,0.00,0.00,0.00,0.00,0.00
5631,日本製鋼所,0.00,0.00,0.00,0.00,0.00
5632,三菱製鋼,0.00,0.00,0.00,0.00,0.00
5659,日本精線,0.00,0.00,0.00,0.00,0.00
5714,ＤＯＷＡホールディングス,0.00,0.00,0.00,0.00,0.00
5741,ＵＡＣＪ,0.05,0.05,0.05,0.05,0.15
5805,昭和電線ホールディングス,0.05,0.05,0.05,0.05,0.15
5807,東京特殊電線,0.05,0.05,0.05,0.05,0.15
5852,アーレスティ,0.00,0.00,0.00,0.00,0.00
5901,東洋製罐グループホールディングス,0.00,0.05,0.05,0.00,0.00
5902,ホッカンホールディングス,0.05,0.05,0.05,0.05,0.15
5932,三協立山,0.05,0.05,0.05,0.05,0.15
5933,アルインコ,0.00,0.05,0.00,-,-
5943,ノーリツ,0.05,-,0.05,-,0.15
5946,長府製作所,0.00,-,-,-,0.00
5947,リンナイ,0.15,0.15,0.15,0.15,0.45
5951,ダイニチ工業,0.05,0.05,0.05,0.05,0.15
5957,日東精工,0.00,0.00,0.00,0.00,0.00
5958,三洋工業,0.00,0.00,0.00,0.00,0.00
5976,高周波熱錬,0.00,0.00,0.00,0.00,0.00
5981,東京製綱,0.00,0.00,0.00,0.00,0.00
5985,サンコール,0.00,0.00,0.00,0.00,0.00
5988,パイオラックス,0.00,0.00,0.00,-,0.00
5991,日本発条,0.05,0.05,0.05,0.05,0.15
5998,アドバネクス,0.05,0.05,0.05,0.05,0.15
6005,三浦工業,0.10,0.10,0.10,0.10,0.30
6028,テクノプロ・ホールディングス,0.15,0.15,0.15,0.15,0.45
6037,ファーストロジック,0.00,0.00,0.00,0.00,0.00
6047,Ｇｕｎｏｓｙ,0.00,0.00,0.00,0.00,0.00
6048,デザインワン・ジャパン,0.00,0.00,0.00,0.00,0.00
6054,リブセンス,0.05,0.00,0.00,0.05,0.00
6055,ジャパンマテリアル,0.05,0.05,0.05,0.05,0.15
6058,ベクトル,0.00,0.00,0.05,0.05,0.15
6088,シグマクシス,0.05,0.05,0.05,0.05,0.15
6093,エスクロー・エージェント・ジャパン,0.00,0.00,0.00,0.00,0.00
6098,リクルートホールディングス,0.00,0.00,0.10,0.10,0.30
6099,エラン,0.00,0.00,0.00,0.00,0.00
6101,ツガミ,0.05,0.05,0.05,0.05,0.15
6113,アマダホールディングス,0.00,0.00,0.00,-,0.15
6118,アイダエンジニアリング,0.00,0.00,0.00,0.00,0.00
6135,牧野フライス製作所,0.00,0.00,0.00,0.00,0.00
6143,ソディック,0.00,0.00,0.00,0.00,0.00
6146,ディスコ,0.45,0.45,0.05,0.45,1.35
6151,日東工器,0.00,0.00,0.00,0.00,0.00
6157,日進工具,0.05,0.05,0.05,0.05,0.15
6165,パンチ工業,0.00,-,0.00,0.00,0.00
6184,鎌倉新書,0.00,0.00,0.00,0.00,0.15
6187,ＬＩＴＡＬＩＣＯ,0.00,0.00,0.00,0.00,0.00
6194,アトラエ,0.10,0.10,0.10,0.10,0.30
6196,ストライク,0.10,0.10,0.10,0.10,0.30
6199,セラク,0.00,0.00,-,0.05,-
6200,インソース,0.10,0.10,0.10,0.10,0.30
6201,豊田自動織機,0.15,0.15,0.15,0.00,0.30
6217,津田駒工業,0.00,0.00,0.00,0.00,0.00
6218,エンシュウ,0.00,0.00,0.00,0.00,0.00
6237,イワキ,0.05,0.05,0.05,0.05,0.15
6240,ヤマシンフィルタ,0.05,0.05,0.70,0.05,0.15
6258,平田機工,0.15,0.15,0.15,0.15,0.45
6262,ペガサスミシン製造,0.00,0.00,0.00,0.00,0.00
6269,三井海洋開発,0.00,-,-,-,-
6273,ＳＭＣ,0.90,0.90,0.90,0.90,3.00
6278,ユニオンツール,0.00,0.05,0.00,0.05,0.15
6284,日精エー・エス・ビー機械,0.10,0.10,0.10,0.10,0.30
6298,ワイエイシイホールディングス,0.00,0.00,0.00,0.00,0.00
6301,小松製作所,0.00,0.00,0.00,0.00,0.00
6302,住友重機械工業,0.00,0.00,0.00,0.00,0.00
6305,日立建機,0.05,0.05,0.05,0.05,0.15
6315,ＴＯＷＡ,0.05,0.05,0.05,0.05,0.15
6316,丸山製作所,0.00,0.00,0.00,0.00,0.00
6325,タカキタ,0.00,0.05,0.00,0.00,0.00
6326,クボタ,0.00,0.00,0.00,-,0.00
6330,東洋エンジニアリング,0.00,0.00,0.00,0.00,0.00
6331,三菱化工機,0.00,0.00,0.00,0.00,0.00
6332,月島機械,0.05,0.05,0.05,0.05,0.15
6339,新東工業,0.05,0.05,-,0.05,-
6349,小森コーポレーション,0.05,0.05,0.05,0.05,0.15
6351,鶴見製作所,0.05,0.05,0.05,0.05,0.15
6361,荏原製作所,0.10,0.10,0.10,0.10,0.15
6362,石井鐵工所,0.05,0.05,0.05,0.05,0.15
6363,酉島製作所,0.00,0.00,0.00,0.00,0.00
6367,ダイキン工業,0.30,0.00,0.00,0.00,-
6368,オルガノ,0.00,0.00,0.00,0.00,0.00
6373,大同工業,0.00,-,-,-,-
6381,アネスト岩田,0.05,0.05,0.05,0.05,0.15
6383,ダイフク,0.15,0.15,0.15,0.15,0.45
